source;target;Hierarchy
4(a)(ii);60;paragraphs
4(a)(ii);61;paragraphs
4(a)(ii);62;paragraphs
4(a)(ii);63;paragraphs
4(a)(ii);64;paragraphs
4(a)(ii);65;paragraphs
4(a)(ii);65A;paragraphs
4(a)(ii);66;paragraphs
4(a)(ii);66A;paragraphs
4(a)(ii);66B;paragraphs
4(a)(ii);67;paragraphs
4(a)(ii);68;paragraphs
4(a)(ii);69;paragraphs
4(a)(ii);70;paragraphs
4(a)(ii);70A;paragraphs
6;B2;paragraphs
6;B3;paragraphs
6;B4;paragraphs
6;B5;paragraphs
6;B6;paragraphs
6;B7;paragraphs
6;B8;paragraphs
6;B9;paragraphs
6;B10;paragraphs
6;B11;paragraphs
6;B12;paragraphs
6;B13;paragraphs
6;B14;paragraphs
6;B15;paragraphs
6;B16;paragraphs
6;B17;paragraphs
6;B18;paragraphs
6;B19;paragraphs
6;B20;paragraphs
6;B21;paragraphs
6;B22;paragraphs
6;B23;paragraphs
6;B24;paragraphs
6;B25;paragraphs
6;B26;paragraphs
6;B27;paragraphs
6;B28;paragraphs
6;B29;paragraphs
6;B30;paragraphs
10;11;paragraphs
10;12;paragraphs
10;13;paragraphs
11(b);B31;paragraphs
11(b);B32;paragraphs
12;B33;paragraphs
12;B34;paragraphs
12;B35;paragraphs
13;11;paragraphs
13;12;paragraphs
18;53;paragraphs
18;54;paragraphs
18;55;paragraphs
18;56;paragraphs
18;57;paragraphs
18;58;paragraphs
18;59;paragraphs
20;14;paragraphs
20;15;paragraphs
20;16;paragraphs
20;17;paragraphs
20;18;paragraphs
20;19;paragraphs
22;16;paragraphs
22;17;paragraphs
22;18;paragraphs
22;19;paragraphs
22;20;paragraphs
22;21;paragraphs
23;14;paragraphs
23;15;paragraphs
23;16;paragraphs
23;17;paragraphs
23;18;paragraphs
23;19;paragraphs
23;20;paragraphs
23;21;paragraphs
23;22;paragraphs
24;14;paragraphs
24;15;paragraphs
24;16;paragraphs
24;17;paragraphs
24;18;paragraphs
24;19;paragraphs
24;20;paragraphs
24;21;paragraphs
24;22;paragraphs
24;23;paragraphs
24;32(a);paragraphs
24;40(a)(i);paragraphs
24;40(b);paragraphs
26;25(a);paragraphs
26;25(b);paragraphs
29;30;paragraphs
29;31;paragraphs
29;32;paragraphs
29;33;paragraphs
29;34;paragraphs
29;35;paragraphs
29;36;paragraphs
29;37;paragraphs
29;38;paragraphs
29;39;paragraphs
29;40;paragraphs
29;41;paragraphs
29;42;paragraphs
29;43;paragraphs
29;44;paragraphs
29;45;paragraphs
29;46;paragraphs
29;47;paragraphs
29;48;paragraphs
29;49;paragraphs
29;50;paragraphs
29;51;paragraphs
29;52;paragraphs
29(a);55;paragraphs
29(a);56;paragraphs
29(a);57;paragraphs
29(a);58;paragraphs
29(a);59;paragraphs
29(b);32;paragraphs
29(b);33;paragraphs
29(b);34;paragraphs
29(b);35;paragraphs
29(b);36;paragraphs
29(b);37;paragraphs
29(b);38;paragraphs
29(b);39;paragraphs
29(b);40;paragraphs
29(b);41;paragraphs
29(b);42;paragraphs
29(b);43;paragraphs
29(b);44;paragraphs
29(b);45;paragraphs
29(b);46;paragraphs
29(b);63;paragraphs
29(b);64;paragraphs
29(b);65;paragraphs
29(b);65A;paragraphs
29(b);66;paragraphs
29(b);66A;paragraphs
29(b);66B;paragraphs
29(b);67;paragraphs
29(b);68;paragraphs
29(b);69;paragraphs
29(b);70;paragraphs
29(b);70A;paragraphs
29(c);32;paragraphs
29(c);33;paragraphs
29(c);34;paragraphs
29(c);35;paragraphs
29(c);36;paragraphs
29(c);37;paragraphs
29(c);38;paragraphs
29(c);39;paragraphs
29(c);40;paragraphs
29(c);41;paragraphs
29(c);42;paragraphs
29(c);43;paragraphs
29(c);44;paragraphs
29(c);45;paragraphs
29(c);46;paragraphs
29(c);47;paragraphs
29(c);48;paragraphs
29(c);49;paragraphs
29(c);50;paragraphs
29(c);51;paragraphs
29(c);52;paragraphs
32(a)(i);33;paragraphs
32(a)(i);34;paragraphs
32(a)(i);35;paragraphs
32(b);38;paragraphs
32(b);39;paragraphs
33(a);B37;paragraphs
33(a);B38;paragraphs
33(a);B39;paragraphs
33(a);B40;paragraphs
33(a);B41;paragraphs
33(b);B42;paragraphs
33(b);B43;paragraphs
33(b);B44;paragraphs
33(b);B45;paragraphs
33(b);B46;paragraphs
33(b);B47;paragraphs
33(b);B48;paragraphs
33(b);B49;paragraphs
33(b);B50;paragraphs
33(b);B51;paragraphs
33(b);B52;paragraphs
33(b);B53;paragraphs
33(c);B54;paragraphs
33(c);B55;paragraphs
33(c);B56;paragraphs
33(c);B57;paragraphs
33(c);B58;paragraphs
33(c);B59;paragraphs
33(c);B60;paragraphs
34;B61;paragraphs
34;B62;paragraphs
34;B63;paragraphs
34;B64;paragraphs
34;B65;paragraphs
34;B66;paragraphs
34;B67;paragraphs
34;B68;paragraphs
34;B69;paragraphs
34;B70;paragraphs
34;B71;paragraphs
38(a);32;paragraphs
38(a);33;paragraphs
38(a);34;paragraphs
38(a);35;paragraphs
38(a);36;paragraphs
38(a);37;paragraphs
39;B93;paragraphs
39;B94;paragraphs
39;B95;paragraphs
40(a)(i);33;paragraphs
40(a)(i);34;paragraphs
40(a)(i);35;paragraphs
40(a)(i);36;paragraphs
40(a)(i);37;paragraphs
40(a)(i);B36;paragraphs
40(a)(i);B37;paragraphs
40(a)(i);B38;paragraphs
40(a)(i);B39;paragraphs
40(a)(i);B40;paragraphs
40(a)(i);B41;paragraphs
40(a)(i);B42;paragraphs
40(a)(i);B43;paragraphs
40(a)(i);B44;paragraphs
40(a)(i);B45;paragraphs
40(a)(i);B46;paragraphs
40(a)(i);B47;paragraphs
40(a)(i);B48;paragraphs
40(a)(i);B49;paragraphs
40(a)(i);B50;paragraphs
40(a)(i);B51;paragraphs
40(a)(i);B52;paragraphs
40(a)(i);B53;paragraphs
40(a)(i);B54;paragraphs
40(a)(i);B55;paragraphs
40(a)(i);B56;paragraphs
40(a)(i);B57;paragraphs
40(a)(i);B58;paragraphs
40(a)(i);B59;paragraphs
40(a)(i);B60;paragraphs
40(a)(i);B61;paragraphs
40(a)(i);B62;paragraphs
40(a)(i);B63;paragraphs
40(a)(i);B64;paragraphs
40(a)(i);B65;paragraphs
40(a)(i);B66;paragraphs
40(a)(i);B67;paragraphs
40(a)(i);B68;paragraphs
40(a)(i);B69;paragraphs
40(a)(i);B70;paragraphs
40(a)(i);B71;paragraphs
40(a)(i);B72;paragraphs
40(a)(i);B73;paragraphs
40(a)(i);B74;paragraphs
40(a)(i);B75;paragraphs
40(a)(i);B76;paragraphs
40(a)(i);B77;paragraphs
40(a)(i);B78;paragraphs
40(a)(i);B79;paragraphs
40(a)(i);B80;paragraphs
40(a)(i);B81;paragraphs
40(a)(i);B82;paragraphs
40(a)(i);B83;paragraphs
40(a)(i);B84;paragraphs
40(a)(i);B85;paragraphs
40(a)(i);B86;paragraphs
40(a)(i);B87;paragraphs
40(a)(i);B88;paragraphs
40(a)(i);B89;paragraphs
40(a)(i);B90;paragraphs
40(a)(i);B91;paragraphs
40(a)(i);B92;paragraphs
40(a)(ii);43;paragraphs
40(a)(ii);44;paragraphs
40(a)(ii);45;paragraphs
40(a)(ii);46;paragraphs
40(b);33;paragraphs
40(b);34;paragraphs
40(b);35;paragraphs
40(b);36;paragraphs
40(b);37;paragraphs
40(b);B36;paragraphs
40(b);B37;paragraphs
40(b);B38;paragraphs
40(b);B39;paragraphs
40(b);B40;paragraphs
40(b);B41;paragraphs
40(b);B42;paragraphs
40(b);B43;paragraphs
40(b);B44;paragraphs
40(b);B45;paragraphs
40(b);B46;paragraphs
40(b);B47;paragraphs
40(b);B48;paragraphs
40(b);B49;paragraphs
40(b);B50;paragraphs
40(b);B51;paragraphs
40(b);B52;paragraphs
40(b);B53;paragraphs
40(b);B54;paragraphs
40(b);B55;paragraphs
40(b);B56;paragraphs
40(b);B57;paragraphs
40(b);B58;paragraphs
40(b);B59;paragraphs
40(b);B60;paragraphs
40(b);B61;paragraphs
40(b);B62;paragraphs
40(b);B63;paragraphs
40(b);B64;paragraphs
40(b);B65;paragraphs
40(b);B66;paragraphs
40(b);B67;paragraphs
40(b);B68;paragraphs
40(b);B69;paragraphs
40(b);B70;paragraphs
40(b);B71;paragraphs
40(b);B72;paragraphs
40(b);B73;paragraphs
40(b);B74;paragraphs
40(b);B75;paragraphs
40(b);B76;paragraphs
40(b);B77;paragraphs
40(b);B78;paragraphs
40(b);B79;paragraphs
40(b);B80;paragraphs
40(b);B81;paragraphs
40(b);B82;paragraphs
40(b);B83;paragraphs
40(b);B84;paragraphs
40(b);B85;paragraphs
40(b);B86;paragraphs
40(b);B87;paragraphs
40(b);B88;paragraphs
40(b);B89;paragraphs
40(b);B90;paragraphs
40(b);B91;paragraphs
40(b);B92;paragraphs
41(a);B120;paragraphs
41(a);B121;paragraphs
41(a);B122;paragraphs
41(a);B123;paragraphs
41(a);B124;paragraphs
41(b);47;paragraphs
41(b);48;paragraphs
41(b);49;paragraphs
41(b);50;paragraphs
41(b);51;paragraphs
41(b);52;paragraphs
44(c);B96;paragraphs
44(c);B97;paragraphs
44(c);B98;paragraphs
44(c);B99;paragraphs
44(c);B100;paragraphs
45;B101;paragraphs
45;B102;paragraphs
45;B103;paragraphs
45;B104;paragraphs
45;B105;paragraphs
45;B106;paragraphs
45;B107;paragraphs
45;B108;paragraphs
45;B109;paragraphs
45;B110;paragraphs
45;B111;paragraphs
45;B112;paragraphs
45;B113;paragraphs
45;B114;paragraphs
45;B115;paragraphs
45;B116;paragraphs
45;B117;paragraphs
45;B118;paragraphs
45(c);B101;paragraphs
45(c);B102;paragraphs
45(c);B103;paragraphs
45(c);B104;paragraphs
45(c);B105;paragraphs
45(c);B106;paragraphs
45(c);B107;paragraphs
45(c);B108;paragraphs
45(c);B109;paragraphs
45(c);B110;paragraphs
45(c);B111;paragraphs
45(c);B112;paragraphs
45(c);B113;paragraphs
45(c);B114;paragraphs
45(c);B115;paragraphs
45(c);B116;paragraphs
45(c);B117;paragraphs
45(c);B118;paragraphs
48(b);44(c)(i);paragraphs
48(b);45(b)(ii);paragraphs
48(b);45(c)(ii);paragraphs
49;47;paragraphs
49;48;paragraphs
50(b)(ii);44(c)(ii);paragraphs
50(b)(ii);45(b)(iii);paragraphs
50(b)(ii);45(c)(iii);paragraphs
52;48;paragraphs
52;49;paragraphs
52;50;paragraphs
53;55;paragraphs
53;56;paragraphs
53;57;paragraphs
53;58;paragraphs
53;59;paragraphs
53(a);32;paragraphs
53(a);33;paragraphs
53(a);34;paragraphs
53(a);35;paragraphs
53(a);36;paragraphs
53(a);37;paragraphs
53(a);38;paragraphs
53(a);39;paragraphs
53(a);40;paragraphs
53(a);41;paragraphs
53(a);42;paragraphs
53(a);43;paragraphs
53(a);44;paragraphs
53(a);45;paragraphs
53(a);46;paragraphs
53(a);47;paragraphs
53(a);48;paragraphs
53(a);49;paragraphs
53(a);50;paragraphs
53(a);51;paragraphs
53(a);52;paragraphs
57(b);33;paragraphs
57(b);34;paragraphs
57(b);35;paragraphs
57(b);36;paragraphs
57(b);37;paragraphs
57(b);B36;paragraphs
57(b);B37;paragraphs
57(b);B38;paragraphs
57(b);B39;paragraphs
57(b);B40;paragraphs
57(b);B41;paragraphs
57(b);B42;paragraphs
57(b);B43;paragraphs
57(b);B44;paragraphs
57(b);B45;paragraphs
57(b);B46;paragraphs
57(b);B47;paragraphs
57(b);B48;paragraphs
57(b);B49;paragraphs
57(b);B50;paragraphs
57(b);B51;paragraphs
57(b);B52;paragraphs
57(b);B53;paragraphs
57(b);B54;paragraphs
57(b);B55;paragraphs
57(b);B56;paragraphs
57(b);B57;paragraphs
57(b);B58;paragraphs
57(b);B59;paragraphs
57(b);B60;paragraphs
57(b);B61;paragraphs
57(b);B62;paragraphs
57(b);B63;paragraphs
57(b);B64;paragraphs
57(b);B65;paragraphs
57(b);B66;paragraphs
57(b);B67;paragraphs
57(b);B68;paragraphs
57(b);B69;paragraphs
57(b);B70;paragraphs
57(b);B71;paragraphs
57(b);B72;paragraphs
57(b);B73;paragraphs
57(b);B74;paragraphs
57(b);B75;paragraphs
57(b);B76;paragraphs
57(b);B77;paragraphs
57(b);B78;paragraphs
57(b);B79;paragraphs
57(b);B80;paragraphs
57(b);B81;paragraphs
57(b);B82;paragraphs
57(b);B83;paragraphs
57(b);B84;paragraphs
57(b);B85;paragraphs
57(b);B86;paragraphs
57(b);B87;paragraphs
57(b);B88;paragraphs
57(b);B89;paragraphs
57(b);B90;paragraphs
57(b);B91;paragraphs
57(b);B92;paragraphs
59(b);33;paragraphs
59(b);34;paragraphs
59(b);35;paragraphs
59(b);36;paragraphs
59(b);37;paragraphs
59(b);B36;paragraphs
59(b);B37;paragraphs
59(b);B38;paragraphs
59(b);B39;paragraphs
59(b);B40;paragraphs
59(b);B41;paragraphs
59(b);B42;paragraphs
59(b);B43;paragraphs
59(b);B44;paragraphs
59(b);B45;paragraphs
59(b);B46;paragraphs
59(b);B47;paragraphs
59(b);B48;paragraphs
59(b);B49;paragraphs
59(b);B50;paragraphs
59(b);B51;paragraphs
59(b);B52;paragraphs
59(b);B53;paragraphs
59(b);B54;paragraphs
59(b);B55;paragraphs
59(b);B56;paragraphs
59(b);B57;paragraphs
59(b);B58;paragraphs
59(b);B59;paragraphs
59(b);B60;paragraphs
59(b);B61;paragraphs
59(b);B62;paragraphs
59(b);B63;paragraphs
59(b);B64;paragraphs
59(b);B65;paragraphs
59(b);B66;paragraphs
59(b);B67;paragraphs
59(b);B68;paragraphs
59(b);B69;paragraphs
59(b);B70;paragraphs
59(b);B71;paragraphs
59(b);B72;paragraphs
59(b);B73;paragraphs
59(b);B74;paragraphs
59(b);B75;paragraphs
59(b);B76;paragraphs
59(b);B77;paragraphs
59(b);B78;paragraphs
59(b);B79;paragraphs
59(b);B80;paragraphs
59(b);B81;paragraphs
59(b);B82;paragraphs
59(b);B83;paragraphs
59(b);B84;paragraphs
59(b);B85;paragraphs
59(b);B86;paragraphs
59(b);B87;paragraphs
59(b);B88;paragraphs
59(b);B89;paragraphs
59(b);B90;paragraphs
59(b);B91;paragraphs
59(b);B92;paragraphs
60;61;paragraphs
60;62;paragraphs
60;63;paragraphs
60;64;paragraphs
60;65;paragraphs
60;65A;paragraphs
60;66;paragraphs
60;66A;paragraphs
60;66B;paragraphs
60;67;paragraphs
60;68;paragraphs
60;69;paragraphs
60;70;paragraphs
60;70A;paragraphs
61;14;paragraphs
61;15;paragraphs
61;16;paragraphs
61;17;paragraphs
61;18;paragraphs
61;19;paragraphs
61;20;paragraphs
61;21;paragraphs
61;22;paragraphs
61;23;paragraphs
61;24;paragraphs
61;14;paragraphs
61;15;paragraphs
61;16;paragraphs
61;17;paragraphs
61;18;paragraphs
61;19;paragraphs
61;20;paragraphs
61;21;paragraphs
61;22;paragraphs
61;23;paragraphs
61;24;paragraphs
63;32;paragraphs
63;33;paragraphs
63;34;paragraphs
63;35;paragraphs
63;36;paragraphs
66B;B119E;paragraphs
66B;B119F;paragraphs
68;47;paragraphs
68;48;paragraphs
68;49;paragraphs
68;50;paragraphs
68;51;paragraphs
68;52;paragraphs
69;55;paragraphs
69;56;paragraphs
69;59;paragraphs
69(a);63;paragraphs
69(a);64;paragraphs
69(a);65;paragraphs
69(a);65A;paragraphs
69(a);66;paragraphs
69(a);66A;paragraphs
69(a);66B;paragraphs
69(a);67;paragraphs
69(a);68;paragraphs
71(c);44(e);paragraphs
71(c);45(e);paragraphs
72(a)(i);3;paragraphs
72(a)(i);4;paragraphs
72(a)(i);5;paragraphs
72(a)(i);6;paragraphs
72(a)(i);7;paragraphs
72(a)(i);8;paragraphs
72(a)(ii);10;paragraphs
72(a)(ii);11;paragraphs
72(a)(ii);12;paragraphs
72(a)(ii);13;paragraphs
72(a)(iv);14;paragraphs
72(a)(iv);15;paragraphs
72(a)(iv);16;paragraphs
72(a)(iv);17;paragraphs
72(a)(iv);18;paragraphs
72(a)(iv);19;paragraphs
72(a)(iv);20;paragraphs
72(a)(iv);21;paragraphs
72(a)(iv);22;paragraphs
72(a)(iv);23;paragraphs
72(a)(iv);24;paragraphs
72(c);53;paragraphs
72(c);54;paragraphs
72(c);55;paragraphs
72(c);56;paragraphs
72(c);57;paragraphs
72(c);58;paragraphs
72(c);59;paragraphs
72(c);69;paragraphs
72(c);70;paragraphs
73;40;paragraphs
73;41;paragraphs
73;42;paragraphs
73;43;paragraphs
73;44;paragraphs
73;45;paragraphs
73;46;paragraphs
73;47;paragraphs
73;48;paragraphs
73;49;paragraphs
73;50;paragraphs
73;51;paragraphs
73;52;paragraphs
76(a);40(a)(i);paragraphs
76(a);40(b);paragraphs
76(b);44(c);paragraphs
76(b);45(c);paragraphs
77(a);44(c);paragraphs
77(a);45(c);paragraphs
80;41;paragraphs
80;42;paragraphs
80(a);83;paragraphs
80(a);84;paragraphs
80(a);85;paragraphs
80(a);86;paragraphs
80(b);87;paragraphs
80(b);88;paragraphs
80(b);89;paragraphs
80(b);90;paragraphs
80(b);91;paragraphs
80(b);92;paragraphs
86(d);B119E;paragraphs
86(d);B119F;paragraphs
87(c);45(b)(ii);paragraphs
87(c);45(b)(iii);paragraphs
87(c);45(c)(ii);paragraphs
87(c);45(c)(iii);paragraphs
88(b);B130;paragraphs
88(b);B131;paragraphs
88(b);B132;paragraphs
88(b);B133;paragraphs
89(b);B134;paragraphs
89(b);B135;paragraphs
89(b);B136;paragraphs
93(a);97;paragraphs
93(a);98;paragraphs
93(a);99;paragraphs
93(a);100;paragraphs
93(a);101;paragraphs
93(a);102;paragraphs
93(a);103;paragraphs
93(a);104;paragraphs
93(a);105;paragraphs
93(a);105A;paragraphs
93(a);105B;paragraphs
93(a);105C;paragraphs
93(a);106;paragraphs
93(a);107;paragraphs
93(a);108;paragraphs
93(a);109;paragraphs
93(a);110;paragraphs
93(a);111;paragraphs
93(a);112;paragraphs
93(a);113;paragraphs
93(a);114;paragraphs
93(a);115;paragraphs
93(a);116;paragraphs
93(b);117;paragraphs
93(b);118;paragraphs
93(b);119;paragraphs
93(b);120;paragraphs
93(c);121;paragraphs
93(c);122;paragraphs
93(c);123;paragraphs
93(c);124;paragraphs
93(c);125;paragraphs
93(c);126;paragraphs
93(c);127;paragraphs
93(c);128;paragraphs
93(c);129;paragraphs
93(c);130;paragraphs
93(c);131;paragraphs
93(c);132;paragraphs
94;97;paragraphs
94;98;paragraphs
94;99;paragraphs
94;100;paragraphs
94;101;paragraphs
94;102;paragraphs
94;103;paragraphs
94;104;paragraphs
94;105;paragraphs
94;105A;paragraphs
94;105B;paragraphs
